hodnota,obdobi,rok,tyden,ukazatel_txt,polozka_txt
29.44,2017-W34,2017,34,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.33,2017-W34,2017,34,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.43,2017-W35,2017,35,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.4,2017-W35,2017,35,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.32,2017-W35,2017,35,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.49,2017-W36,2017,36,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.53,2017-W36,2017,36,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.36,2017-W36,2017,36,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.69,2017-W37,2017,37,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.9,2017-W37,2017,37,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.68,2017-W37,2017,37,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.76,2017-W38,2017,38,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.02,2017-W38,2017,38,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.72,2017-W38,2017,38,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.9,2017-W39,2017,39,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.96,2017-W39,2017,39,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.83,2017-W39,2017,39,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.1,2017-W40,2017,40,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.01,2017-W40,2017,40,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.9,2017-W40,2017,40,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
